filename,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en]
0202041.pdf,"Harris, Maggie",,2003,,"Maggie Harris, ""the night-time put on flesh and blackness',"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/dne2-00q2",https://doi.org/10.33682/dne2-00q2,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,the night-time put on flesh and blackness',Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202042.pdf,"Harris, Maggie",,2003,,"Maggie Harris, ""Pancho Villa's Daughter,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/6stt-p770",https://doi.org/10.33682/6stt-p770,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Pancho Villa's Daughter,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202043.pdf,"Harris, Maggie",,2003,,"Maggie Harris, ""Sugar,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/7ne1-0evr",https://doi.org/10.33682/7ne1-0evr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sugar,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202066.pdf,"Maxwell, Dwight",,2003,,"Dwight Maxwell, ""A Fisherman's Tale,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/vr3a-tv04",https://doi.org/10.33682/vr3a-tv04,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,A Fisherman's Tale,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202069.pdf,"Leonin, Mia",,2003,,"Mia Leonin, ""Meridian,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/jt5t-0955",https://doi.org/10.33682/jt5t-0955,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Meridian,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202070.pdf,"Leonin, Mia",,2003,,"Mia Leonin, ""Fatima -- Hand on Fire,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/wd1j-02sn",https://doi.org/10.33682/wd1j-02sn,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Fatima -- Hand on Fire,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202071.pdf,"Bethel, Nicolette",,2003,,"Nicolette Bethel, ""The Scotsman Gives Lily Her Name,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/gd9a-f1sh",https://doi.org/10.33682/gd9a-f1sh,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Scotsman Gives Lily Her Name,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202072.pdf,"Fon, Roxanna",,2003,,"Roxanna Fon, ""Not Dancing with My Mother,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/6gbv-s7jf",https://doi.org/10.33682/6gbv-s7jf,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Not Dancing with My Mother,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202073.pdf,"Fon, Roxanna",,2003,,"Roxanna Fon, ""Why are you taking pictures of that shit?,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/2y6v-c8hr",https://doi.org/10.33682/2y6v-c8hr,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Why are you taking pictures of that shit?,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202074.pdf,"Ross, Sassy",,2003,,"Sassy Ross, ""On Being Long-Winded,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/za5v-2eqy",https://doi.org/10.33682/za5v-2eqy,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,On Being Long-Winded,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202076.pdf,"LaFontant, Pascal",,2003,,"Pascal LaFontant, ""Restitution,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/2sps-5den",https://doi.org/10.33682/2sps-5den,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Restitution,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202138.pdf,"Ulysse, Katia",,2003,,"Katia Ulysse, ""Doll Party (Baptéme de Poupèe),"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/9vne-483b",https://doi.org/10.33682/9vne-483b,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Doll Party (Baptéme de Poupèe),Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202140.pdf,"Etienne, Phebus",,2003,,"Phebus Etienne, ""Black Enough,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/8wpr-1tyh",https://doi.org/10.33682/8wpr-1tyh,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Black Enough,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202141.pdf,"Rojas, Bonafide",,2003,,"Bonafide Rojas, ""Basquiat,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/runv-jb3r",https://doi.org/10.33682/runv-jb3r,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Basquiat,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202144.pdf,"Rojas, Bonafide",,2003,,"Bonafide Rojas, ""Life: (un)titled,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/yz8m-nurs",https://doi.org/10.33682/yz8m-nurs,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Life: (un)titled,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202146.pdf,"Robinson, Colin",,2003,,"Colin Robinson, ""The Mechanic,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/jxbr-4ctc",https://doi.org/10.33682/jxbr-4ctc,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Mechanic,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202149.pdf,"Campbell, Christian A.",,2003,,"Christian A. Campbell, ""Woy,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/svgg-2x9a",https://doi.org/10.33682/svgg-2x9a,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Woy,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202150.pdf,"Garrison, Peggy",,2003,,"Peggy Garrison, ""Customs,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/k3e8-3eyg",https://doi.org/10.33682/k3e8-3eyg,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Customs,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202151.pdf,"Garrison, Peggy",,2003,,"Peggy Garrison, ""Edgy,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/zv22-ks6q",https://doi.org/10.33682/zv22-ks6q,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Edgy,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202153.pdf,"Garrison, Peggy",,2003,,"Peggy Garrison, ""Right Ripe,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/js29-bbvb",https://doi.org/10.33682/js29-bbvb,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Right Ripe,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202154.pdf,"Garrison, Peggy",,2003,,"Peggy Garrison, ""Switching,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/zgfj-42cc",https://doi.org/10.33682/zgfj-42cc,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Switching,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202156.pdf,"Garrison, Peggy",,2003,,"Peggy Garrison, ""When,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/pvd2-n7db",https://doi.org/10.33682/pvd2-n7db,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,When,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202162.pdf,"Johnson, Jacqueline Joan",,2003,,"Jacqueline Joan Johnson, ""Search,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/19rr-mes8",https://doi.org/10.33682/19rr-mes8,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Search,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202163.pdf,"Johnson, Jacqueline Joan",,2003,,"Jacqueline Joan Johnson, ""Bruised Fruit (Pantoun -- A Variation),"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/vw65-myt6",https://doi.org/10.33682/vw65-myt6,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Bruised Fruit (Pantoun -- A Variation),Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202164.pdf,"Johnson, Jacqueline Joan",,2003,,"Jacqueline Joan Johnson, ""Small Things God,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/119h-wrjd",https://doi.org/10.33682/119h-wrjd,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Small Things God,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202166.pdf,"Johnson, Jacqueline Joan",,2003,,"Jacqueline Joan Johnson, ""Bedstuy Notebook,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/c47g-stx0",https://doi.org/10.33682/c47g-stx0,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Bedstuy Notebook,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202167.pdf,"Walcott, C.M. Harclyde",,2003,,"C.M. Harclyde Walcott, ""The Seed,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/sexw-5m1e",https://doi.org/10.33682/sexw-5m1e,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Seed,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202168.pdf,"Walcott, C.M. Harclyde",,2003,,"C.M. Harclyde Walcott, ""Imagining,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/0m4u-k6ye",https://doi.org/10.33682/0m4u-k6ye,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Imagining,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202087.pdf,"Bishop, Jacqueline",,2003,,"Jacqueline Bishop, ""Unearthing Memories: St. Martin Artist Deborah Jack,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/yf0z-uvhx",https://doi.org/10.33682/yf0z-uvhx,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Unearthing Memories: St. Martin Artist Deborah Jack,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202139.pdf,"Ulysse, Katia",,2003,,"Katia Ulysse, ""Birthday Song,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/3ek1-rzc9",https://doi.org/10.33682/3ek1-rzc9,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Birthday Song,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
